Date,Close,High,Low,Open,Volume,coin,avg_sentiment,return,lag_sentiment
2023-01-02,11.15361499786377,11.23122787475586,10.743950843811035,10.866033554077148,128530323,AVALANCHE-2,0.0,0.026477263212476787,0.0
2023-01-03,11.38444995880127,11.52815055847168,11.087236404418945,11.15368366241455,165410541,AVALANCHE-2,0.0,0.020695977132231258,0.0
2023-01-04,12.07761287689209,12.270716667175293,11.363713264465332,11.383941650390625,203700017,AVALANCHE-2,0.0,0.06088681671923357,0.0
2023-01-05,11.740196228027344,12.14906120300293,11.718555450439453,12.077432632446289,148011463,AVALANCHE-2,0.0,-0.02793736248247536,0.0
2023-01-06,11.781206130981444,11.803510665893555,11.38878059387207,11.742313385009766,135298028,AVALANCHE-2,0.0,0.003493119038010306,0.0
2023-01-07,11.74342441558838,11.854203224182129,11.666064262390137,11.781932830810547,99819319,AVALANCHE-2,0.0,-0.003206947996072018,0.0
2023-01-08,12.072585105895996,12.128076553344727,11.609659194946289,11.741462707519531,133385894,AVALANCHE-2,0.0,0.028029361680114606,0.0
2023-01-09,12.209636688232422,12.631736755371094,12.069567680358887,12.069567680358887,331158364,AVALANCHE-2,0.0,0.011352297882703866,0.0
2023-01-10,12.731241226196287,12.869482040405273,12.089607238769531,12.207080841064453,230945289,AVALANCHE-2,0.0,0.04272072554514139,0.0
2023-01-11,15.91392421722412,15.913924217224121,12.316078186035156,12.729662895202637,815639199,AVALANCHE-2,0.0,0.24998999975579927,0.0
2023-01-12,15.45734977722168,16.10527229309082,14.886008262634277,15.849684715270996,821227059,AVALANCHE-2,0.0,-0.028690248474871782,0.0
2023-01-13,15.962223052978516,16.4328556060791,15.047157287597656,15.45751667022705,594284894,AVALANCHE-2,0.0,0.03266234400031687,0.0
2023-01-14,16.958057403564453,18.337526321411133,15.944210052490234,15.961251258850098,1069929455,AVALANCHE-2,0.0,0.062386946184173064,0.0
2023-01-15,16.797117233276367,17.043317794799805,16.05112648010254,16.959484100341797,514796096,AVALANCHE-2,0.0,-0.009490483871947397,0.0
2023-01-16,16.740787506103516,17.275224685668945,16.220399856567383,16.79619789123535,455814602,AVALANCHE-2,0.0,-0.0033535353948270785,0.0
2023-01-17,17.1265926361084,18.136295318603516,16.669139862060547,16.742637634277344,549733348,AVALANCHE-2,0.0,0.023045817280950676,0.0
2023-01-18,15.804330825805664,17.383407592773438,15.774803161621094,17.129079818725586,466860281,AVALANCHE-2,0.0,-0.07720518835223411,0.0
2023-01-19,16.196353912353516,16.256357192993164,15.750173568725586,15.809412002563477,275014984,AVALANCHE-2,0.0,0.02480478869170133,0.0
2023-01-20,17.52127456665039,17.528125762939453,15.902365684509277,16.19332504272461,377589626,AVALANCHE-2,0.0,0.08180363688436776,0.0
2023-01-21,16.896469116210938,17.73019790649414,16.887035369873047,17.522947311401367,451849941,AVALANCHE-2,0.0,-0.03565981733022405,0.0
2023-01-22,17.362272262573242,18.365903854370117,16.877227783203125,16.891254425048828,528180733,AVALANCHE-2,0.0,0.027568076096762706,0.0
2023-01-23,18.0065860748291,18.28485870361328,17.34971046447754,17.362207412719727,447269431,AVALANCHE-2,0.0,0.037109993583315015,0.0
2023-01-24,17.01931381225586,18.856185913085938,16.935819625854492,17.995372772216797,483621029,AVALANCHE-2,0.0,-0.05482839770240078,0.0
2023-01-25,17.803890228271484,18.215179443359375,16.603015899658203,17.0212345123291,373780820,AVALANCHE-2,0.0,0.04609918030012694,0.0
2023-01-26,18.108034133911133,18.715797424316406,17.79720687866211,17.79720687866211,485573315,AVALANCHE-2,0.0,0.01708300274491048,0.0
2023-01-27,21.25410270690918,21.551227569580078,17.626211166381836,18.1074161529541,680858655,AVALANCHE-2,0.0,0.1737388249730747,0.0
2023-01-28,20.60495948791504,21.684043884277344,20.15287971496582,21.251615524291992,689054377,AVALANCHE-2,0.0,-0.03054201948422508,0.0
2023-01-29,21.07977867126465,21.123519897460938,20.227642059326172,20.60445213317871,420146185,AVALANCHE-2,0.0,0.023043927052033064,0.0
2023-01-30,19.73917007446289,21.17930793762207,19.433820724487305,21.076677322387695,665345570,AVALANCHE-2,0.0,-0.06359690097834081,0.0
2023-01-31,19.844499588012695,20.09893035888672,19.40431785583496,19.7375545501709,398085253,AVALANCHE-2,0.0,0.0053360659618648665,0.0
2023-02-01,20.96536445617676,20.965364456176758,18.795307159423828,19.84294891357422,578705289,AVALANCHE-2,0.0,0.05648239519434073,0.0
2023-02-02,21.1800594329834,22.705150604248047,20.954572677612305,20.958087921142578,923881872,AVALANCHE-2,0.0,0.010240460033757337,0.0
2023-02-03,21.36518669128418,21.844970703125,20.878236770629883,21.173091888427734,449947551,AVALANCHE-2,0.0,0.008740639226558766,0.0
2023-02-04,21.024635314941406,21.61928367614746,20.99332046508789,21.362613677978516,270970237,AVALANCHE-2,0.0,-0.01593954601303338,0.0
2023-02-05,20.10801696777344,21.118896484375,19.77849578857422,21.025434494018555,341651159,AVALANCHE-2,0.0,-0.04359734822684702,0.0
2023-02-06,19.58503532409668,20.370624542236328,19.560394287109375,20.107219696044922,228201924,AVALANCHE-2,0.0,-0.026008613604958097,0.0
2023-02-07,20.845218658447266,20.917795181274414,19.570659637451172,19.580888748168945,316667706,AVALANCHE-2,0.0,0.0643441951212671,0.0
2023-02-08,20.08147430419922,20.995512008666992,19.73801040649414,20.844480514526367,257585287,AVALANCHE-2,0.0,-0.03663882671427621,0.0
2023-02-09,17.874452590942383,20.20979118347168,17.66394805908203,20.085739135742188,387714367,AVALANCHE-2,0.0,-0.10990337063027922,0.0
2023-02-10,17.79853057861328,18.22443389892578,17.62877082824707,17.87581443786621,232811782,AVALANCHE-2,0.0,-0.004247515382237443,0.0
2023-02-11,18.02908515930176,18.073793411254883,17.703311920166016,17.802188873291016,134054933,AVALANCHE-2,0.0,0.012953573873424995,0.0
2023-02-12,17.76869773864746,18.466371536254883,17.615549087524414,18.027767181396484,259289328,AVALANCHE-2,0.0,-0.014442630802038114,0.0
2023-02-13,17.6209716796875,17.84229278564453,16.933635711669922,17.770370483398438,245266831,AVALANCHE-2,0.0,-0.008313837127109869,0.0
2023-02-14,18.147031784057617,18.257169723510742,17.377979278564453,17.61852264404297,249864205,AVALANCHE-2,0.0,0.02985420520121096,0.0
2023-02-15,19.923646926879883,19.923646926879883,17.93962287902832,18.145700454711914,256514870,AVALANCHE-2,0.0,0.09790114239966474,0.0
2023-02-16,18.614831924438477,20.31131935119629,18.583778381347656,19.923826217651367,362001305,AVALANCHE-2,0.0,-0.06569153766099045,0.0
2023-02-17,19.477388381958008,19.621904373168945,18.522083282470703,18.61043357849121,249597693,AVALANCHE-2,0.0,0.04633705321760795,0.0
2023-02-18,19.578697204589844,20.032611846923828,19.360095977783203,19.47702980041504,258172528,AVALANCHE-2,0.0,0.005201355574224742,0.0
2023-02-19,19.80207633972168,20.36556053161621,19.437061309814453,19.572031021118164,288113872,AVALANCHE-2,0.0,0.011409295153687271,0.0
2023-02-20,20.810766220092773,21.310453414916992,19.215484619140625,19.808090209960938,483461795,AVALANCHE-2,0.0,0.05093859164393422,0.0
2023-02-21,20.94013023376465,21.600173950195312,20.017404556274414,20.81546974182129,489974940,AVALANCHE-2,0.0,0.006216206184036288,0.0
2023-02-22,20.314476013183594,21.45758056640625,19.64725112915039,20.942157745361328,605541357,AVALANCHE-2,0.0,-0.02987823922757782,0.0
2023-02-23,19.702638626098633,20.695337295532227,19.5836238861084,20.31671905517578,309191497,AVALANCHE-2,0.0,-0.030118295283023455,0.0
2023-02-24,18.36859893798828,19.805137634277344,18.14151382446289,19.701887130737305,298510977,AVALANCHE-2,0.0,-0.06770868173683331,0.0
2023-02-25,17.95964241027832,18.55936050415039,17.542898178100586,18.373031616210938,242999790,AVALANCHE-2,0.0,-0.022263893348130837,0.0
2023-02-26,18.44385528564453,18.555042266845703,17.850767135620117,17.95693016052246,151162317,AVALANCHE-2,0.0,0.026961164610331823,0.0
2023-02-27,17.939739227294922,18.618318557739258,17.789108276367188,18.44245147705078,198821795,AVALANCHE-2,0.0,-0.027332466588044668,0.0
2023-02-28,17.081113815307617,17.938501358032227,17.000381469726562,17.938501358032227,200107205,AVALANCHE-2,0.0,-0.047861643979803525,0.0
2023-03-01,17.761022567749023,17.79535484313965,17.033552169799805,17.08233642578125,159270741,AVALANCHE-2,0.0,0.03980470827564475,0.0
2023-03-02,17.447031021118164,17.83243179321289,17.16027069091797,17.761550903320312,132504184,AVALANCHE-2,0.0,-0.017678686316238035,0.0
2023-03-03,16.654382705688477,17.468854904174805,15.944987297058105,17.447799682617188,205495359,AVALANCHE-2,0.0,-0.04543170207413816,0.0
2023-03-04,16.11780548095703,16.872081756591797,15.818962097167969,16.65411949157715,122435703,AVALANCHE-2,0.0,-0.03221837964298557,0.0
2023-03-05,16.159337997436523,16.50018310546875,16.08805274963379,16.1220760345459,108593997,AVALANCHE-2,0.0,0.002576809636309463,0.0
2023-03-06,16.52437973022461,16.58368492126465,15.860719680786133,16.156301498413086,162196354,AVALANCHE-2,0.0,0.02259014155443717,0.0
2023-03-07,16.169782638549805,16.698427200317383,15.91472339630127,16.52454376220703,161466099,AVALANCHE-2,0.0,-0.021459025843264423,0.0
2023-03-08,15.134352684020996,16.235193252563477,15.086821556091309,16.16967010498047,168121578,AVALANCHE-2,0.0,-0.06403487156718335,0.0
2023-03-09,14.403960227966309,15.66695499420166,14.258267402648926,15.135318756103516,223903610,AVALANCHE-2,0.0,-0.04826056794790068,0.0
2023-03-10,14.82969093322754,15.08689022064209,13.941650390625,14.407492637634277,295964794,AVALANCHE-2,0.0,0.02955650380335295,0.0
2023-03-11,14.638959884643556,15.178179740905762,14.103416442871094,14.828900337219238,242350091,AVALANCHE-2,0.0,-0.012861431127781042,0.0
2023-03-12,16.256580352783203,16.305145263671875,14.363444328308105,14.635699272155762,247416383,AVALANCHE-2,0.0,0.11050105204786775,0.0
2023-03-13,16.500085830688477,16.7929744720459,15.563715934753418,16.259267807006836,326292018,AVALANCHE-2,0.0,0.014978886864332797,0.0
2023-03-14,17.180816650390625,17.89102554321289,16.2111759185791,16.500621795654297,425237957,AVALANCHE-2,0.0,0.041256198706315805,0.0
2023-03-15,15.585168838500977,17.476064682006836,15.448031425476074,17.18476104736328,314371131,AVALANCHE-2,0.0,-0.09287380479980678,0.0
2023-03-16,15.87647819519043,16.066478729248047,15.379693031311035,15.590289115905762,199893661,AVALANCHE-2,0.0,0.01869144695884306,0.0
2023-03-17,17.64643669128418,17.72435760498047,15.70724105834961,15.878774642944336,249635546,AVALANCHE-2,0.0,0.11148306786513507,0.0
2023-03-18,16.987367630004883,18.179182052612305,16.948850631713867,17.647384643554688,260105946,AVALANCHE-2,0.0,-0.03734856349808113,0.0
2023-03-19,17.563106536865234,18.09745216369629,16.989490509033203,16.989490509033203,188260913,AVALANCHE-2,0.0,0.033892179141600476,0.0
2023-03-20,16.64081382751465,17.795822143554688,16.61823844909668,17.563905715942383,226183876,AVALANCHE-2,0.0,-0.052513073778529984,0.0
2023-03-21,17.4854679107666,17.528169631958008,16.425477981567383,16.647287368774414,201360715,AVALANCHE-2,0.0,0.05075797926753833,0.0
2023-03-22,16.77981185913086,17.924171447753906,16.38042449951172,17.483421325683594,309254853,AVALANCHE-2,0.0,-0.04035671537284036,0.0
2023-03-23,17.562936782836914,17.833919525146484,16.654478073120117,16.776945114135742,225499693,AVALANCHE-2,0.0,0.04667066176191437,0.0
2023-03-24,16.986759185791016,17.636964797973633,16.758556365966797,17.563884735107422,165076426,AVALANCHE-2,0.0,-0.032806449409358396,0.0
2023-03-25,16.880115509033203,17.151586532592773,16.433589935302734,16.98478889465332,160302358,AVALANCHE-2,0.0,-0.006278047247942231,0.0
2023-03-26,17.13402557373047,17.282085418701172,16.881956100463867,16.881956100463867,120192188,AVALANCHE-2,0.0,0.015041962512720275,0.0
2023-03-27,16.503171920776367,17.150596618652344,16.14993667602539,17.133577346801758,155993864,AVALANCHE-2,0.0,-0.03681876452439248,0.0
2023-03-28,16.726268768310547,16.798385620117188,16.350547790527344,16.503551483154297,157163428,AVALANCHE-2,0.0,0.013518422313307799,0.0
2023-03-29,17.2939395904541,17.391202926635742,16.68571662902832,16.726146697998047,173033738,AVALANCHE-2,0.0,0.03393887961546205,0.0
2023-03-30,17.245332717895508,17.52766227722168,17.056400299072266,17.299463272094727,201197047,AVALANCHE-2,0.0,-0.0028106304121372494,0.0
2023-03-31,17.716890335083008,17.827316284179688,17.123004913330078,17.247215270996094,188033602,AVALANCHE-2,0.0,0.02734407186578447,0.0
2023-04-01,17.662683486938477,17.877634048461914,17.573810577392578,17.71441650390625,111851369,AVALANCHE-2,0.0,-0.003059614137656541,0.0
2023-04-02,17.263288497924805,17.838180541992188,17.12401580810547,17.79855728149414,122730984,AVALANCHE-2,0.0,-0.022612361780078527,0.0
2023-04-03,17.101024627685547,17.422077178955078,16.735944747924805,17.26184844970703,183483019,AVALANCHE-2,0.0,-0.009399360397572165,0.0
2023-04-04,17.64712142944336,17.648984909057617,16.994564056396484,17.101242065429688,143457849,AVALANCHE-2,0.0,0.03193357203133407,0.0
2023-04-05,17.989526748657227,18.312583923339844,17.6358585357666,17.647354125976562,221196176,AVALANCHE-2,0.0,0.019402899253732064,0.0
2023-04-06,18.001949310302734,18.31281089782715,17.70067024230957,17.990446090698242,175964595,AVALANCHE-2,0.0,0.0006905441048601357,0.0
